TIME_PERIOD,GEO,NOGA,CLASS,LEGAL,INDICATOR,OBS_VALUE,OBS_STATUS
2013,CH,_T,_T,_T,Jobs created by New businesses,51317,A
2013,CH01,_T,_T,_T,Jobs created by New businesses,9547,A
2013,22,_T,_T,_T,Jobs created by New businesses,4237,A
2013,23,_T,_T,_T,Jobs created by New businesses,1671,A
2013,25,_T,_T,_T,Jobs created by New businesses,3639,A
2013,CH02,_T,_T,_T,Jobs created by New businesses,8343,A
2013,2,_T,_T,_T,Jobs created by New businesses,4376,A
2013,10,_T,_T,_T,Jobs created by New businesses,1470,A
2013,11,_T,_T,_T,Jobs created by New businesses,1197,A
2013,24,_T,_T,_T,Jobs created by New businesses,1023,A
2013,26,_T,_T,_T,Jobs created by New businesses,277,A
2013,CH03,_T,_T,_T,Jobs created by New businesses,6082,A
2013,12,_T,_T,_T,Jobs created by New businesses,1482,A
2013,13,_T,_T,_T,Jobs created by New businesses,1302,A
2013,19,_T,_T,_T,Jobs created by New businesses,3298,A
2013,CH04,_T,_T,_T,Jobs created by New businesses,10517,A
2013,1,_T,_T,_T,Jobs created by New businesses,10517,A
2013,CH05,_T,_T,_T,Jobs created by New businesses,6087,A
2013,8,_T,_T,_T,Jobs created by New businesses,161,A
2013,14,_T,_T,_T,Jobs created by New businesses,448,A
2013,15,_T,_T,_T,Jobs created by New businesses,350,A
2013,16,_T,_T,_T,Jobs created by New businesses,126,A
2013,17,_T,_T,_T,Jobs created by New businesses,2539,A
2013,18,_T,_T,_T,Jobs created by New businesses,1206,A
2013,20,_T,_T,_T,Jobs created by New businesses,1257,A
2013,CH06,_T,_T,_T,Jobs created by New businesses,6271,A
2013,3,_T,_T,_T,Jobs created by New businesses,2112,A
2013,4,_T,_T,_T,Jobs created by New businesses,185,A
2013,5,_T,_T,_T,Jobs created by New businesses,1325,A
2013,6,_T,_T,_T,Jobs created by New businesses,248,A
2013,7,_T,_T,_T,Jobs created by New businesses,303,A
2013,9,_T,_T,_T,Jobs created by New businesses,2098,A
2013,CH07,_T,_T,_T,Jobs created by New businesses,4470,A
2013,21,_T,_T,_T,Jobs created by New businesses,4470,A
2013,CH,B-F,_T,_T,Jobs created by New businesses,7552,A
2013,CH,B-E,_T,_T,Jobs created by New businesses,2364,A
2013,CH,F,_T,_T,Jobs created by New businesses,5188,A
2013,CH,G-S,_T,_T,Jobs created by New businesses,43765,A
2013,CH,G,_T,_T,Jobs created by New businesses,6417,A
2013,CH,H,_T,_T,Jobs created by New businesses,1135,A
2013,CH,I,_T,_T,Jobs created by New businesses,1916,A
2013,CH,J,_T,_T,Jobs created by New businesses,2818,A
2013,CH,K,_T,_T,Jobs created by New businesses,2142,A
2013,CH,L-N,_T,_T,Jobs created by New businesses,5672,A
2013,CH,M,_T,_T,Jobs created by New businesses,9835,A
2013,CH,P,_T,_T,Jobs created by New businesses,1935,A
2013,CH,Q,_T,_T,Jobs created by New businesses,5249,A
2013,CH,R,_T,_T,Jobs created by New businesses,3062,A
2013,CH,S,_T,_T,Jobs created by New businesses,3584,A
